port_index,portname,prttype,prtsize,status,iso3,port_lat,port_long,unique_port_identifier,country
1448.0,Hopewell,Sea,Unknown,Open,USA,37.3059,-77.2835,Hopewell (1448.0),United States of America
1449.0,San Mateo,Sea,Unknown,Open,USA,37.57250000000019,-122.3020000000011,San Mateo (1449.0),United States of America
1451.0,Alexandria,Unknown,Unknown,Unknown,USA,38.799999999999976,-77.03330000000004,Alexandria (1451.0),United States of America
1453.0,Antibes,Sea,Unknown,Unknown,FRA,43.588900000001736,7.122699999999901,Antibes (1453.0),France
1454.0,Wallhamn,Sea,Unknown,Unknown,SWE,58.0095000000001,11.705500000000027,Wallhamn (1454.0),Sweden
1455.0,Skiathos,Sea,Unknown,Unknown,GRC,39.1701,23.501300000000008,Skiathos (1455.0),Greece
1456.0,Sagunto,Sea,Unknown,Unknown,ESP,39.652699999999115,-0.21120000000000205,Sagunto (1456.0),Spain
1457.0,Biarritz,Sea,Unknown,Unknown,FRA,43.487099999999494,-1.5669000000000102,Biarritz (1457.0),France
1458.0,Forsmark,Sea,Unknown,Unknown,SWE,60.390000000000015,18.2269,Forsmark (1458.0),Sweden
1459.0,Mongstad,Sea,Unknown,Unknown,NOR,60.81390000000424,5.031900000000768,Mongstad (1459.0),Norway
1460.0,Torquay,Sea,Unknown,Unknown,GBR,50.46509999999983,-3.537000000000013,Torquay (1460.0),U.K. of Great Britain & Northern Ireland
1461.0,Parga,Sea,Unknown,Unknown,GRC,39.2881,20.3883,Parga (1461.0),Greece
1462.0,Douarnenez,Sea,Unknown,Unknown,FRA,48.099100000000064,-4.342600000000002,Douarnenez (1462.0),France
1463.0,Paris,Sea,Unknown,Unknown,FRA,48.8604,2.3393,Paris (1463.0),France
1464.0,Faro,Sea,Unknown,Unknown,PRT,37.01360000000005,-7.941599999999996,Faro (1464.0),Portugal
1465.0,Portimao,Sea,Unknown,Unknown,PRT,37.13050000000013,-8.52839999999999,Portimao (1465.0),Portugal
1466.0,Denia,Sea,Unknown,Unknown,ESP,38.836099999999995,0.11850000000000002,Denia (1466.0),Spain
1467.0,Keramoti,Sea,Unknown,Unknown,GRC,40.87120000000085,24.71970000000054,Keramoti (1467.0),Greece
1468.0,Bordeaux,Sea,Unknown,Unknown,FRA,44.8397,-0.5656,Bordeaux (1468.0),France
1469.0,Lyngor,Sea,Unknown,Unknown,NOR,58.641900000000035,9.122099999999994,Lyngor (1469.0),Norway
1470.0,Otterbacken,Sea,Unknown,Unknown,SWE,58.95640000000002,14.0437,Otterbacken (1470.0),Sweden
1471.0,Enkoping,Sea,Unknown,Unknown,SWE,59.6046,17.073299999999996,Enkoping (1471.0),Sweden
1472.0,Norrtalje,Sea,Unknown,Unknown,SWE,59.757,18.730099999999997,Norrtalje (1472.0),Sweden
1477.0,Selaata,Sea,Very Small,Open,LBN,34.28160000000002,35.6567,Selaata (1477.0),Lebanon
1489.0,Kopmanholmen,Sea,Unknown,Unknown,SWE,63.1787,18.5917,Kopmanholmen (1489.0),Sweden
1495.0,Limassol,Sea,Unknown,Open,CYP,34.68090000000254,33.06449999999749,Limassol (1495.0),Cyprus
1498.0,Ahus,Sea,Unknown,Unknown,SWE,55.93230000000025,14.322099999999978,Ahus (1498.0),Sweden
1500.0,Hamilton,Lake,Unknown,Open,CAN,43.250600000000006,-79.75109999999998,Hamilton (1500.0),Canada
1508.0,Searsport,Sea,Unknown,Open,USA,44.4547,-68.92830000000002,Searsport (1508.0),United States of America
1511.0,Masset,Sea,Unknown,Open,CAN,54.0383,-132.144,Masset (1511.0),Canada
1512.0,Donaldsonville,Sea,Unknown,Open,USA,30.108099999999425,-90.99700000000232,Donaldsonville (1512.0),United States of America
1513.0,Clinton,Sea,Unknown,Open,USA,41.26749999999996,-72.52109999999996,Clinton (1513.0),United States of America
1514.0,Provincetown,Sea,Unknown,Open,USA,42.0567,-70.1853,Provincetown (1514.0),United States of America
1515.0,Alsen,Sea,Unknown,Open,USA,42.22550000000032,-73.87380000000084,Alsen (1515.0),United States of America
1516.0,Cornwall,Sea,Unknown,Open,CAN,45.015,-74.7434,Cornwall (1516.0),Canada
1517.0,Kalama,Sea,Unknown,Open,USA,46.01140000000145,-122.85300000000218,Kalama (1517.0),United States of America
1518.0,Olympia,Sea,Unknown,Open,USA,47.046499999999966,-122.89699999999995,Olympia (1518.0),United States of America
1519.0,Holyrood,Sea,Unknown,Open,CAN,47.3864,-53.1383,Holyrood (1519.0),Canada
1521.0,Freeport,Sea,Unknown,Open,USA,28.94700000000011,-95.35070000000238,Freeport (1521.0),United States of America
1522.0,San Diego,Sea,Unknown,Open,USA,32.65160000000012,-117.11500000000082,San Diego (1522.0),United States of America
1523.0,Perth Amboy,Sea,Unknown,Open,USA,40.513500000000846,-74.26720000000186,Perth Amboy (1523.0),United States of America
1524.0,Yarmouth,Sea,Unknown,Open,USA,43.7973,-70.1808,Yarmouth (1524.0),United States of America
1525.0,Le Havre,Sea,Unknown,Unknown,FRA,49.48530000000027,0.10810000000001296,Le Havre (1525.0),France
1526.0,Nanaimo,Sea,Unknown,Open,CAN,49.16599999999855,-123.93499999999811,Nanaimo (1526.0),Canada
1529.0,Grasten,Sea,Unknown,Unknown,DNK,54.90970000000005,9.6007,Grasten (1529.0),Denmark
1530.0,Tayport,Sea,Unknown,Unknown,GBR,56.44059999999996,-2.948600000000023,Tayport (1530.0),U.K. of Great Britain & Northern Ireland
1531.0,Buckie,Sea,Unknown,Unknown,GBR,57.685300000000005,-2.9554999999999993,Buckie (1531.0),U.K. of Great Britain & Northern Ireland
1532.0,Katakolon,Sea,Unknown,Unknown,GRC,37.6493,21.3227,Katakolon (1532.0),Greece
1533.0,Perama,Sea,Unknown,Unknown,GRC,37.96329999997775,23.566700000007174,Perama (1533.0),Greece
1534.0,Messina,Sea,Unknown,Unknown,ITA,38.175700000000354,15.567499999999542,Messina (1534.0),Italy
1535.0,Piombino,Sea,Unknown,Unknown,ITA,42.932100000000936,10.544499999999973,Piombino (1535.0),Italy
1536.0,Oaxen,Sea,Unknown,Unknown,SWE,58.95720000000018,17.716100000000388,Oaxen (1536.0),Sweden
1537.0,Gluckstadt,Sea,Unknown,Unknown,DEU,53.74760000000103,9.3995,Gluckstadt (1537.0),Germany
1538.0,Vallejo,Sea,Unknown,Open,USA,38.076900000000016,-122.26800000000333,Vallejo (1538.0),United States of America
1539.0,Piney Point,Sea,Unknown,Open,USA,38.135599999999926,-76.52759999999994,Piney Point (1539.0),United States of America
1540.0,New Castle,Sea,Unknown,Open,USA,39.65350000000027,-75.55870000000081,New Castle (1540.0),United States of America
1541.0,Camden,Sea,Unknown,Open,USA,39.92749999999665,-75.12920000000973,Camden (1541.0),United States of America
1542.0,Woods Hole,Sea,Unknown,Open,USA,41.523300000000496,-70.6704000000007,Woods Hole (1542.0),United States of America
1543.0,Emden,Sea,Unknown,Unknown,DEU,53.35769999999502,7.2019000000000215,Emden (1543.0),Germany
1544.0,Sakai,Sea,Unknown,Unknown,JPN,34.555500000007505,135.41900000002897,Sakai (1544.0),Japan
1546.0,Heroya,Sea,Unknown,Unknown,NOR,59.1022999999988,9.587500000000446,Heroya (1546.0),Norway
1547.0,Maloy,Sea,Unknown,Unknown,NOR,61.934799999995384,5.039500000000064,Maloy (1547.0),Norway
1548.0,Canvey Island,Sea,Unknown,Unknown,GBR,51.51670000000008,0.6085000000000013,Canvey Island (1548.0),U.K. of Great Britain & Northern Ireland
1549.0,Whitstable,Sea,Unknown,Unknown,GBR,51.356700000000046,1.0065000000000017,Whitstable (1549.0),U.K. of Great Britain & Northern Ireland
1550.0,Bayonne,Sea,Unknown,Unknown,FRA,43.495399999999805,-1.4663000000000272,Bayonne (1550.0),France
1551.0,Medgidia,Sea,Unknown,Unknown,ROU,44.254100000000065,28.277700000000035,Medgidia (1551.0),Romania
1552.0,Libourne,Sea,Unknown,Unknown,FRA,44.9077,-0.2436,Libourne (1552.0),France
1555.0,Penzance,Sea,Unknown,Unknown,GBR,50.11679999999995,-5.5328000000000035,Penzance (1555.0),U.K. of Great Britain and Northern Ireland
1556.0,Duisburg,Sea,Unknown,Unknown,DEU,51.40729999999938,6.7527000000000035,Duisburg (1556.0),Germany
1557.0,Fishguard,Sea,Unknown,Unknown,GBR,52.00330000000002,-4.973200000000001,Fishguard (1557.0),U.K. of Great Britain and Northern Ireland
1558.0,Beaumaris,Sea,Unknown,Unknown,GBR,53.26499999999994,-4.101599999999989,Beaumaris (1558.0),U.K. of Great Britain and Northern Ireland
1559.0,Port Sunlight,Sea,Unknown,Unknown,GBR,53.34929999999998,-2.9786,Port Sunlight (1559.0),U.K. of Great Britain and Northern Ireland
1564.0,Sakaide,Sea,Unknown,Open,JPN,34.3566,133.852,Sakaide (1564.0),Japan
1566.0,Annaba,Sea,Unknown,Open,DZA,36.907899999999984,7.7808999999999955,Annaba (1566.0),Algeria
1569.0,Uraga,Sea,Unknown,Open,JPN,35.224600000001324,139.71900000002518,Uraga (1569.0),Japan
1572.0,Bunbury,Sea,Unknown,Unknown,AUS,-33.3218,115.64199999999991,Bunbury (1572.0),Australia
1577.0,Port Hedland,Sea,Unknown,Unknown,AUS,-20.300400000000078,118.57199999999291,Port Hedland (1577.0),Australia
1578.0,Maceio,Sea,Unknown,Unknown,BRA,-9.673369999999988,-35.727599999999995,Maceio (1578.0),Brazil
1582.0,Cavite,Sea,Unknown,Unknown,PHL,14.480900000000084,120.90500000000674,Cavite (1582.0),Philippines
1584.0,Cide,Sea,Unknown,Unknown,TUR,41.91649999999996,33.011099999999985,Cide (1584.0),Turkey
1587.0,Kronshtadt,Sea,Unknown,Unknown,RUS,59.98850000000249,29.775099999999345,Kronshtadt (1587.0),Russian Federation
1588.0,Primorsk,Sea,Unknown,Unknown,RUS,60.36250000000205,28.62449999999952,Primorsk (1588.0),Russian Federation
1590.0,Launceston,Sea,Unknown,Unknown,AUS,-41.4402,147.12699999999998,Launceston (1590.0),Australia
1591.0,Ulverstone,Sea,Unknown,Unknown,AUS,-41.1549,146.182,Ulverstone (1591.0),Australia
1593.0,Portland,Sea,Unknown,Unknown,AUS,-38.3332,141.607,Portland (1593.0),Australia
1594.0,Melbourne,Sea,Unknown,Unknown,AUS,-37.82430000000021,144.9469999999961,Melbourne (1594.0),Australia
1595.0,San Fernando,Sea,Unknown,Unknown,ARG,-34.4526,-58.50529999999999,San Fernando (1595.0),Argentina
1607.0,Kawasaki,Sea,Unknown,Unknown,JPN,35.53049999999423,139.75999999997208,Kawasaki (1607.0),Japan
1608.0,Choshi,Sea,Unknown,Unknown,JPN,35.736499999999594,140.82899999999847,Choshi (1608.0),Japan
1611.0,Qinhuangdao,Sea,Unknown,Unknown,CHN,39.91370000000004,119.59499999999981,Qinhuangdao (1611.0),China
1614.0,Anan,Sea,Unknown,Unknown,JPN,33.92900000000008,134.68799999999973,Anan (1614.0),Japan
1615.0,Eden,Sea,Unknown,Unknown,AUS,-37.0727,149.9,Eden (1615.0),Australia
1616.0,Fremantle,Sea,Unknown,Unknown,AUS,-32.098400000001654,115.76000000000526,Fremantle (1616.0),Australia
1618.0,Kuala Belait,Sea,Unknown,Unknown,BRN,4.58933,114.177,Kuala Belait (1618.0),Brunei Darussalam
